Model Name,Category,binary_accuracy,precision,recall,f1-score,support,Optimization Metric,Threshold
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",macro avg,0.9272344708442688,0.863835625465951,0.7086643970048954,0.7673953587454141,3666.0,0.7673953587454141,
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",weighted avg,0.9272344708442688,0.8420682981798074,0.7635024549918167,0.7944753000895292,3666.0,0.7673953587454141,
"allenai_longformer-base-4096_Unfrozen[8, 9, 10, 11]_BCE",samples avg,0.9272344708442688,0.8375209983201344,0.7704086530220439,0.7772235364028021,3666.0,0.7673953587454141,
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Deviation / Discrepancy - Procedural,0.782577395439148,0.819304152637486,0.8381171067738232,0.8286038592508514,871.0,0.7111783518015342,0.45
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Aircraft Equipment,0.8869690299034119,0.7989276139410187,0.7842105263157895,0.791500664010624,380.0,0.7111783518015342,0.5
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Conflict,0.9193664789199829,0.8308823529411765,0.773972602739726,0.8014184397163121,292.0,0.7111783518015342,0.61
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Inflight Event / Encounter,0.8725702166557312,0.7513812154696132,0.7576601671309192,0.7545076282940361,359.0,0.7111783518015342,0.38
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",ATC Issue,0.8804895877838135,0.7713567839195979,0.8036649214659686,0.7871794871794873,382.0,0.7111783518015342,0.43
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Deviation - Altitude,0.9200863838195801,0.7891156462585034,0.5918367346938775,0.6763848396501457,196.0,0.7111783518015342,0.36
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Deviation - Track / Heading,0.9193664789199829,0.7375886524822695,0.5810055865921788,0.65,179.0,0.7111783518015342,0.37
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Ground Event / Encounter,0.9078473448753357,0.7302325581395349,0.6916299559471366,0.7104072398190047,227.0,0.7111783518015342,0.34
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Flight Deck / Cabin / Aircraft Event,0.9524837732315063,0.9029126213592233,0.6241610738255033,0.738095238095238,149.0,0.7111783518015342,0.37
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Ground Incursion,0.9546436071395874,0.8387096774193549,0.6190476190476191,0.7123287671232876,126.0,0.7111783518015342,0.51
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Airspace Violation,0.946004331111908,0.8255813953488372,0.5419847328244275,0.6543778801843319,131.0,0.7111783518015342,0.31
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Deviation - Speed,0.9308855533599854,0.7684210526315789,0.4965986394557823,0.6033057851239668,147.0,0.7111783518015342,0.26
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Ground Excursion,0.9640029072761536,0.9,0.717391304347826,0.7983870967741935,138.0,0.7111783518015342,0.39
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",No Specific Anomaly Occurred,0.9524837732315063,0.8709677419354839,0.30337078651685395,0.45000000000000007,89.0,0.7111783518015342,0.14
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",micro avg,0.9135555028915405,0.7992161591799819,0.7231314784506274,0.7592725189746528,3666.0,0.7111783518015342,
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",macro avg,0.9135555028915405,0.8096701046059771,0.6517608398341023,0.7111783518015342,3666.0,0.7111783518015342,
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",weighted avg,0.9135555028915405,0.8018883299973721,0.7231314784506274,0.7535787124945694,3666.0,0.7111783518015342,
"AeroBOT_bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",samples avg,0.9135555028915405,0.8087952963762898,0.7374232918509377,0.7428671160852586,3666.0,0.7111783518015342,
